sexe;age;ethnie;statut matrimonial;niveau_etude;religion;type_habitat;type_propriete;act_princ;duree_elevage;raison_elev;localisatio_bergerie;nbre_brebis;total_ovin
1;71;1;1;4;1;1;1;8;19;4;2;4;14
1;69;1;1;4;1;1;1;8;27;4;2;3;10
1;68;2;1;5;1;1;1;8;9;4;2;5;13
1;65;1;1;4;1;1;1;8;19;4;2;5;12
1;65;2;1;3;1;1;1;8;21;4;2;2;9
1;64;1;1;3;1;1;1;8;9;4;2;5;10
1;64;1;1;4;1;1;1;8;2;4;2;3;10
1;63;2;1;3;1;1;1;2;11;4;2;2;9
1;62;1;1;3;1;1;2;8;13;4;2;3;8
1;62;1;1;3;1;1;1;8;25;6;2;6;13
1;62;1;1;3;1;1;1;8;21;6;1;4;7
1;62;2;1;3;1;1;1;8;9;4;2;2;9
2;62;2;1;3;1;1;1;8;10;4;2;10;23
1;61;1;1;3;1;1;1;8;23;6;1;3;7
1;61;2;1;3;1;1;1;8;17;4;2;3;10
1;61;2;1;3;1;1;1;2;24;4;2;2;9
1;60;1;1;3;1;1;1;8;15;6;2;3;7
1;60;1;1;3;1;1;1;8;9;6;2;2;6
1;59;6;1;3;1;2;1;4;19;4;2;3;7
1;59;6;1;3;1;1;1;8;9;4;2;2;7
1;57;1;1;2;1;1;1;2;15;7;1;7;20
1;56;2;1;3;1;2;2;4;9;4;2;10;27
1;56;6;1;3;1;1;2;8;12;4;2;3;8
1;56;1;1;3;1;1;1;4;9;4;3;8;21
1;56;2;1;3;1;1;1;3;5;4;3;10;23
2;55;1;1;3;1;1;1;8;40;4;2;9;13
1;55;6;1;3;1;1;2;8;14;4;2;9;14
1;55;1;1;3;1;1;1;8;11;4;2;3;8
1;55;1;1;3;1;1;1;8;14;4;2;2;7
1;55;1;1;4;1;1;1;8;11;4;2;10;27
1;55;2;1;3;1;1;1;8;8;7;2;11;25
1;54;1;1;3;1;1;1;3;13;4;1;4;11
1;54;1;1;3;1;1;1;2;18;4;1;2;3
2;54;1;1;3;1;1;1;3;17;4;2;5;9
1;54;1;1;3;1;1;1;8;19;4;2;2;7
1;54;1;1;3;1;1;1;8;4;4;2;2;11
1;54;1;1;3;1;1;1;8;3;4;2;3;10
1;54;1;1;2;1;1;1;4;7;4;3;9;22
1;53;1;1;3;1;1;1;8;10;4;1;3;7
2;53;1;1;3;1;1;1;8;19;4;2;2;6
1;53;6;1;3;1;1;2;3;12;4;2;3;7
1;53;1;1;3;1;1;1;8;2;4;2;8;17
1;53;1;1;3;1;1;1;8;7;4;2;11;16
1;53;1;1;3;1;1;1;3;14;4;2;8;15
1;52;1;1;2;1;1;1;4;5;4;1;24;61
1;52;1;1;4;1;1;1;2;3;4;2;9;15
1;52;1;1;4;1;1;1;2;4;4;2;2;9
1;51;1;1;3;1;1;1;2;5;4;1;3;7
1;51;1;1;5;1;1;1;8;16;4;2;2;9
1;51;1;1;4;1;1;1;2;6;4;2;10;23
1;49;5;1;3;1;1;1;8;9;7;2;11;22
1;49;5;1;3;1;2;1;2;25;4;2;2;5
2;49;1;1;3;1;1;1;8;20;4;2;6;13
1;49;1;1;3;1;1;2;8;24;6;1;6;9
1;49;1;1;3;1;1;2;8;40;4;1;3;3
1;49;1;1;4;1;1;1;2;2;4;2;7;11
1;49;2;1;3;1;1;1;1;13;4;2;3;10
1;49;1;1;3;1;1;1;1;5;4;2;13;27
2;48;1;1;3;1;1;2;3;3;4;2;3;6
1;48;1;1;3;1;1;1;1;3;4;2;6;10
1;48;1;1;4;1;1;1;2;11;4;2;12;26
1;47;2;1;3;1;2;1;2;9;4;2;3;7
2;47;1;1;3;1;1;2;8;13;4;2;11;26
2;47;1;1;3;1;1;1;3;7;4;2;4;9
1;47;1;1;3;1;1;2;8;19;6;1;7;15
1;47;1;1;3;1;1;1;2;4;4;1;4;8
2;46;1;1;3;1;1;2;8;2;4;2;12;26
1;45;1;1;3;1;1;2;3;40;4;1;29;61
1;45;5;3;2;1;1;2;1;13;4;2;3;6
1;45;2;1;3;1;2;1;1;3;4;2;4;6
2;45;1;2;3;1;1;1;8;5;4;2;5;12
2;42;1;2;3;1;1;2;8;3;4;2;5;11
2;42;1;1;3;1;1;1;8;5;4;2;6;10
2;42;1;1;3;1;1;1;7;12;4;2;13;30
1;41;5;1;3;1;1;1;8;7;4;2;5;10
1;41;2;1;3;1;2;1;2;21;4;2;2;5
1;41;1;1;3;1;2;1;8;11;7;2;6;10
2;41;1;1;3;1;1;1;8;17;4;2;4;11
1;38;5;1;2;1;1;1;8;3;4;2;3;7
1;38;1;1;3;1;2;1;3;2;4;2;5;12
1;37;1;1;2;1;1;3;4;10;4;1;6;17
1;29;1;1;2;1;1;3;4;5;4;1;5;9
1;29;5;1;2;1;1;3;8;8;4;2;5;8
1;26;5;1;3;1;1;3;8;3;4;2;3;9
